2026-06-05 13:01:32,937 | INFO     | __main__ | [DB] Existing database deleted.
2026-06-05 13:02:08,475 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007.hea: 200 0-364/364
2026-06-05 13:02:08,764 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007e.dat: 206 0-479/479
2026-06-05 13:02:09,046 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007p.dat: 206 0-173/173
2026-06-05 13:02:09,396 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0007r.dat: 206 0-150/150
2026-06-05 13:02:09,696 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008.hea: 200 0-471/471
2026-06-05 13:02:10,272 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 0-32768/7406805
2026-06-05 13:02:10,699 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 32768-65536/7406805
2026-06-05 13:02:11,311 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 65536-98304/7406805
2026-06-05 13:02:11,690 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 98304-131072/7406805
2026-06-05 13:02:12,470 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 131072-163840/7406805
2026-06-05 13:02:13,098 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 163840-196608/7406805
2026-06-05 13:02:13,602 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 196608-229376/7406805
2026-06-05 13:02:14,129 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 229376-262144/7406805
2026-06-05 13:02:14,637 | INFO     | wfdb.io._url | GET https://physionet.org/files/mimic4wdb/0.1.0/waves/p100/p10014354/81739927/81739927_0008e.dat: 206 262144-294912/7406805
